test_case_id,model_name,reference_text,hypothesis_text,original_wer,lattice_wer,wer_improvement,improvement_percentage,reference_length,substitutions,deletions,insertions
test_001,model1,नमस्ते मेरा नाम राज है,नमस्ते मेरा नाम राज है,0.0,0.1667,-0.1667,0.0,5,0,0,0
test_001,model2,नमस्ते मेरा नाम राज है,नमस्ते मेरा नाम राजेश है,0.2,0.3333,-0.1333,-66.67,5,1,0,0
test_001,model3,नमस्ते मेरा नाम राज है,नमस्ते मेरा नाम है,0.2,0.3333,-0.1333,-66.67,5,0,1,0
test_001,model4,नमस्ते मेरा नाम राज है,नमस्ते मेरा नाम राज कुमार है,0.2,0.1667,0.0333,16.67,5,0,0,1
test_001,model5,नमस्ते मेरा नाम राज है,नमस्ते का नाम राज है,0.2,0.3333,-0.1333,-66.67,5,1,0,0
test_002,model1,क्या आप कैसे हो,क्या आप कैसे हो,0.0,0.2,-0.2,0.0,4,0,0,0
test_002,model2,क्या आप कैसे हो,क्या आप ठीक हो,0.25,0.4,-0.15,-60.0,4,1,0,0
test_002,model3,क्या आप कैसे हो,क्या कैसे हो,0.25,0.4,-0.15,-60.0,4,0,1,0
test_002,model4,क्या आप कैसे हो,क्या आप वाकई कैसे हो,0.25,0.4,-0.15,-60.0,4,0,0,1
test_002,model5,क्या आप कैसे हो,क्या आप कहाँ हो,0.25,0.4,-0.15,-60.0,4,1,0,0
test_003,model1,यह एक अच्छा दिन है,यह एक अच्छा दिन है,0.0,0.1667,-0.1667,0.0,5,0,0,0
test_003,model2,यह एक अच्छा दिन है,यह अच्छा दिन है,0.2,0.3333,-0.1333,-66.67,5,0,1,0
test_003,model3,यह एक अच्छा दिन है,यह एक बहुत अच्छा दिन है,0.2,0.3333,-0.1333,-66.67,5,0,0,1
test_003,model4,यह एक अच्छा दिन है,यह एक बुरा दिन है,0.2,0.3333,-0.1333,-66.67,5,1,0,0
test_003,model5,यह एक अच्छा दिन है,यह दिन अच्छा है,0.4,0.5,-0.1,-25.0,5,1,1,0
